WKT,osm_id,name,type,population
"POINT (17.0 54.5666667)",31345943,Redwanki,village,54
"POINT (15.9666667 53.7666667)",31345944,Redło,village,1100
"POINT (15.899568 54.0282587)",31345945,Redlino,village,288
"POINT (16.9166667 54.4166667)",31345946,Reblino,village,324
"POINT (16.4666667 54.2166667)",31345947,Ratajki,village,0
"POINT (15.793782 53.9525025)",31345948,Rarwino,village,213
"POINT (14.8333333 53.9166667)",31345950,Rarwino,village,0
"POINT (15.7179077 53.9782534)",31345951,Ramlewo,village,0
"POINT (15.4 54.1166667)",31345952,Rajewo,village,0
"POINT (16.2 54.15)",31345953,Raduszka,village,0
"POINT (17.2166667 54.25)",31345954,Radusz,village,239
"POINT (15.4192169 53.684664)",31345955,Radowo Wielkie,village,0
"POINT (16.5333333 53.75)",31345956,Radomyśl,village,150
"POINT (14.8333333 54.0333333)",31345962,Radawka,village,0
"POINT (16.5333333 53.7166667)",31345973,Radacz,village,0
"POINT (15.9510583 53.8698323)",31345979,Rąbino,village,1100
"POINT (15.9333333 53.8666667)",31345980,Rabinko,village,160
"POINT (16.8166667 54.1666667)",31345981,Pustowo,village,190
"POINT (16.0166667 54.0666667)",31345982,Pustkowo,village,165
"POINT (14.9666667 54.0666667)",31345991,Pustkowo,village,123
"POINT (15.6515173 54.0967676)",31345992,Pustary,village,310
"POINT (15.8 53.7666667)",31345993,Psary,village,0
"POINT (16.4 54.2166667)",31345994,Przytok,village,0
"POINT (16.8333333 54.1166667)",31345995,Przytocko,village,402
"POINT (16.4166667 54.3166667)",31345996,Przystawy,village,0
"POINT (16.8333333 53.8333333)",31345997,Przybrda,village,400
"POINT (15.5759437 53.6795806)",31345999,Przyborze,village,40
"POINT (16.3166667 53.7333333)",31346000,Przybkowo,village,0
"POINT (16.3333333 53.7)",31346010,Przybkówko,village,50
"POINT (15.3 53.9333333)",31346011,Przybiernowo,village,326
"POINT (15.1333333 53.95)",31346012,Przybiernówko,village,449
"POINT (16.9 54.5666667)",31346013,Przewłoka,village,180
"POINT (16.55 53.7666667)",31346014,Przeradz,village,0
"POINT (15.5714805 53.7346524)",31346015,Przemysław,village,0
"POINT (15.5166667 54.1166667)",31346016,Przećmino,village,150
"POINT (17.25 53.8)",31346017,Przechlewo,town,2826
"POINT (17.25 53.85)",31346018,Przechlewko,village,81
